Month,US,Canada,EMEA,LAAP,Total 
Jan-10,12245,8284,9748,2270,32547
Feb-10,10252,9038,9386,1518,30194
Mar-10,13411,9505,8789,2229,33934
Apr-10,14417,10879,9439,1551,36286
May-10,12831,11435,8439,2263,34968
Jun-10,14162,10050,9341,2532,36085
Jul-10,10186,10640,9563,1591,31980
Aug-10,11137,10676,8763,2095,32671
Sep-10,13649,8124,9369,2384,33526
Oct-10,13860,11842,9189,2870,37761
Nov-10,12256,10638,9847,1534,34275
Dec-10,10664,11511,9143,1927,33245
Jan-11,10832,8354,8944,1963,30093
Feb-11,13494,10651,9717,2141,36003
Mar-11,12333,9833,8185,2961,33312
Apr-11,11493,10982,9136,2922,34533
May-11,12338,8637,9344,2828,33147
Jun-11,10352,8832,9865,2875,31924
Jul-11,14494,8364,9553,2728,35139
Aug-11,13335,8685,9170,1504,32694
Sep-11,14852,8695,8039,1750,33336
Oct-11,13813,11267,8892,2605,36577
Nov-11,13146,10586,9291,1972,34995
Dec-11,12963,9142,9705,1531,33341
Jan-12,11394,11293,8153,2294,33134
Feb-12,10140,11543,8916,2474,33073
Mar-12,11869,10570,9889,2826,35154
Apr-12,14132,10816,8350,2643,35941
May-12,10540,10904,9992,1619,33055
Jun-12,13629,8275,8880,2368,33152
Jul-12,13443,8630,8092,1794,31959
Aug-12,13841,10747,8838,2924,36350
Sep-12,13238,8942,9349,2935,34464
Oct-12,14797,9167,8173,2287,34424
Nov-12,14847,8663,8099,2619,34228
Dec-12,11715,11846,8340,2373,34274
Jan-13,12256,9870,9312,2969,34407
Feb-13,11155,10692,8965,2508,33320
Mar-13,13152,9214,9835,2621,34822
Apr-13,11668,8284,9190,2533,31675
May-13,13755,10559,8933,2341,35588
Jun-13,10282,9640,9371,2276,31569
Jul-13,14251,10783,8683,2423,36140
Aug-13,13174,10440,9335,2803,35752
Sep-13,13484,10792,9049,2929,36254
Oct-13,12949,10035,8458,1906,33348
Nov-13,10256,11311,9046,2685,33298
Dec-13,14024,11324,8224,1858,35430
Jan-14,12429,8517,8656,2460,32062
Feb-14,14365,8073,8636,1829,32903
Mar-14,13048,9589,9329,2970,34936
Apr-14,11717,10735,9104,2669,34225
May-14,10931,8212,8288,2170,29601
Jun-14,10151,9493,8023,2035,29702
Jul-14,11845,11961,8717,2040,34563
Aug-14,12693,10866,9065,1777,34401
Sep-14,11904,10894,9500,1767,34065
Oct-14,10251,8141,9351,2622,30365
Nov-14,11869,9733,8802,2794,33198
Dec-14,12716,11772,8584,1988,35060
Jan-15,12020,9193,9297,1688,32198
Feb-15,10186,10720,9851,2523,33280
Mar-15,13811,10873,8485,2110,35279
Apr-15,10185,9609,9353,1801,30948
May-15,11930,10223,9145,2738,34036
Jun-15,11248,10408,9936,2622,34214
Jul-15,10061,9598,9265,1563,30487
Aug-15,14474,11461,9478,2192,37605
Sep-15,10828,11136,9685,2125,33774
Oct-15,10842,11715,9718,2313,34588
Nov-15,10282,10951,8623,2461,32317
Dec-15,14889,10783,9094,2990,37756
Jan-16,10811,9334,9985,1907,32037
Feb-16,14777,11250,8283,2851,37161
Mar-16,12422,9313,9008,2365,33108
Apr-16,10654,10319,8421,2851,32245
May-16,13976,10469,9960,2057,36462
Jun-16,11572,8725,9045,1769,31111
Jul-16,12226,9103,9240,2396,32965
Aug-16,13963,9896,9658,2783,36300
Sep-16,13845,11364,9561,2768,37538
Oct-16,13438,9403,9058,2319,34218
Nov-16,12092,9756,8394,2669,32911
Dec-16,14252,9602,9385,2024,35263
Jan-17,10895,8862,9095,2441,31293
Feb-17,14836,10864,9772,1725,37197
Mar-17,11018,9657,9153,2532,32360
Apr-17,12476,10669,8721,2740,34606
May-17,12039,8839,8409,2829,32116
Jun-17,10144,10945,8799,2419,32307
Jul-17,11751,8029,9537,2715,32032
Aug-17,12681,11676,8737,2695,35789
Sep-17,13041,11208,8983,2497,35729
Oct-17,14350,11758,8714,2792,37614
Nov-17,11510,10326,9365,1824,33025
Dec-17,13685,8789,8711,2225,33410
Jan-18,14134,9752,8351,2058,34295
Feb-18,10749,8176,9202,2639,30766
Mar-18,14357,9614,8188,1780,33939
Apr-18,10708,11166,9498,1547,32919
May-18,14417,10601,9016,2808,36842
Jun-18,14731,11934,9197,2041,37903
Jul-18,14607,10522,9704,2288,37121
Aug-18,14964,11767,9780,1521,38032
Sep-18,13323,8520,8582,2018,32443
Oct-18,14634,10867,8543,1728,35772
Nov-18,10387,11467,8370,2293,32517
Dec-18,14307,9823,9599,2136,35865
Jan-19,10679,10564,8484,1608,31335
Feb-19,10337,11147,8772,1562,31818
Mar-19,13994,9195,9301,1572,34062
Apr-19,14494,11758,9414,1715,37381
May-19,14858,11553,8595,2642,37648
Jun-19,12440,9254,8383,2888,32965
Jul-19,11529,11035,8789,1581,32934
Aug-19,10013,10968,9897,1971,32849
Sep-19,13320,8646,8975,2326,33267
Oct-19,11662,8551,9740,2448,32401
Nov-19,11474,10412,9586,1571,33043
Dec-19,13095,9442,8881,2738,34156
Jan-20,14173,9319,9392,1717,34601
Feb-20,14353,9942,9599,2175,36069
Mar-20,13293,8995,9200,2511,33999
Apr-20,10616,8925,8280,1954,29775
May-20,12920,8422,8505,2751,32598
Jun-20,13109,9947,9955,1854,34865
Jul-20,10043,8445,9418,2678,30584
Aug-20,12424,10875,9359,2860,35518
Sep-20,13681,8235,9326,2361,33603
Oct-20,14708,8038,8654,1906,33306
Nov-20,11429,9189,8457,1508,30583
Dec-20,13107,9376,9878,1963,34324
Jan-21,10220,10769,9837,1742,32568
Feb-21,10010,9070,8496,2715,30291
Mar-21,14621,9503,8908,1637,34669
Apr-21,12976,10367,9081,1646,34070
May-21,12903,10785,8428,1854,33970
Jun-21,10185,9621,8872,1774,30452
Jul-21,12210,9241,8477,2493,32421
Aug-21,14306,11742,8989,2698,37735
Sep-21,12023,8274,9953,2840,33090
Oct-21,12583,9636,9243,1507,32969
Nov-21,12307,10834,9575,1892,34608
Dec-21,14497,11322,9037,2084,36940
Jan-22,13217,8053,8372,2365,32007
Feb-22,14100,9221,9379,1770,34470
Mar-22,10279,8280,9375,1731,29665
Apr-22,13005,9810,9114,2223,34152
May-22,10461,10562,8294,2569,31886
Jun-22,11449,8960,9501,2122,32032
Jul-22,11977,8082,8733,1783,30575
Aug-22,13263,10661,9499,1971,35394
Sep-22,12480,9427,9576,1983,33466
Oct-22,11170,8479,8337,1664,29650
Nov-22,12233,9413,8662,2179,32487
Dec-22,13344,10988,8493,2927,35752
Jan-23,12569,10090,9342,2864,34865
Feb-23,11093,9668,9524,1937,32222
Mar-23,10866,11836,8805,2204,33711
Apr-23,13034,8405,9752,2577,33768
May-23,11706,11002,9605,1517,33830
Jun-23,14516,11572,9404,2413,37905
Jul-23,12030,8830,9489,2050,32399
Aug-23,13112,10395,8732,1870,34109
