Month,US,Canada,EMEA,LAAP,Total
Jan-10,24620,14734,6624,2922,48900
Feb-10,24532,14616,6885,2867,48900
Mar-10,24959,14589,6933,2922,49403
Apr-10,24848,14779,6906,2912,49445
May-10,24532,14859,6975,2874,49240
Jun-10,24584,14677,6827,2954,49042
Jul-10,24780,14832,6519,2870,49001
Aug-10,24916,14639,6552,2920,49027
Sep-10,24511,14899,6631,2948,48989
Oct-10,24655,14660,6602,2915,48832
Nov-10,24954,14558,6852,2896,49260
Dec-10,24631,14929,6863,2939,49362
Jan-11,24754,14699,6640,2896,48989
Feb-11,24655,14937,6705,2955,49252
Mar-11,24653,14674,6772,2911,49010
Apr-11,24674,14598,6851,2979,49102
May-11,24696,14691,6647,2909,48943
Jun-11,24913,14627,6647,2981,49168
Jul-11,24680,14855,6915,2989,49439
Aug-11,24625,14876,6754,2860,49115
Sep-11,24868,14951,6874,2890,49583
Oct-11,24870,14803,6546,2907,49126
Nov-11,24658,14941,6517,2925,49041
Dec-11,24633,14506,6982,2989,49110
Jan-12,24684,14909,6813,2899,49305
Feb-12,24612,14781,6868,2999,49260
Mar-12,24676,14948,6625,2990,49239
Apr-12,24640,14790,6989,2961,49380
May-12,24947,14632,6840,2967,49386
Jun-12,24956,14906,6903,2917,49682
Jul-12,24643,14880,6915,2970,49408
Aug-12,24914,14973,6562,2957,49406
Sep-12,24561,14793,6620,2880,48854
Oct-12,24837,14744,6654,2976,49211
Nov-12,24553,14806,6670,2875,48904
Dec-12,24706,14880,6808,2964,49358
Jan-13,24805,14762,6555,2873,48995
Feb-13,24755,14886,6566,2898,49105
Mar-13,24888,14665,6872,2974,49399
Apr-13,24539,14970,6880,2936,49325
May-13,24949,14954,6711,2946,49560
Jun-13,24680,14797,6972,2966,49415
Jul-13,24545,14670,6932,2930,49077
Aug-13,24919,14939,6637,2935,49430
Sep-13,24607,14613,6833,3000,49053
Oct-13,24568,14820,6713,2929,49030
Nov-13,24658,14535,6863,2995,49051
Dec-13,24564,14987,6658,2965,49174
