Month,Product ,US,Canada,EMEA,LAAP,Total
Jan-10,Accessories & Equipment ,8297,4555,2272,1339,16463
Feb-10,Accessories & Equipment ,8492,5700,2158,1311,17661
Mar-10,Accessories & Equipment ,6850,4874,2374,1485,15583
Apr-10,Accessories & Equipment ,8698,5977,2797,1363,18835
May-10,Accessories & Equipment ,5687,5853,2564,1336,15440
Jun-10,Accessories & Equipment ,6953,4947,2503,1354,15757
Jul-10,Accessories & Equipment ,5753,4655,2522,1397,14327
Aug-10,Accessories & Equipment ,9320,5794,2945,1445,19504
Sep-10,Accessories & Equipment ,9082,4940,2452,1355,17829
Oct-10,Accessories & Equipment ,8360,5321,2773,1488,17942
Nov-10,Accessories & Equipment ,8604,5182,2512,1294,17592
Dec-10,Accessories & Equipment ,8252,5319,2263,1413,17247
Jan-11,Accessories & Equipment ,8152,5667,2284,1486,17589
Feb-11,Accessories & Equipment ,8193,4795,2803,1492,17283
Mar-11,Accessories & Equipment ,9054,5906,2523,1421,18904
Apr-11,Accessories & Equipment ,9467,5713,2738,1322,19240
May-11,Accessories & Equipment ,8748,5406,2647,1405,18206
Jun-11,Accessories & Equipment ,5861,4674,2329,1294,14158
Jul-11,Accessories & Equipment ,7529,5614,2690,1308,17141
Aug-11,Accessories & Equipment ,6028,4870,2910,1470,15278
Sep-11,Accessories & Equipment ,7298,4990,2378,1405,16071
Oct-11,Accessories & Equipment ,8694,4734,2431,1259,17118
Nov-11,Accessories & Equipment ,7355,5998,2978,1307,17638
Dec-11,Accessories & Equipment ,9471,5179,2527,1410,18587
Jan-12,Accessories & Equipment ,8955,4803,2478,1429,17665
Feb-12,Accessories & Equipment ,9165,4576,2094,1378,17213
Mar-12,Accessories & Equipment ,9315,5169,2805,1416,18705
Apr-12,Accessories & Equipment ,8119,5394,2582,1436,17531
May-12,Accessories & Equipment ,9227,5437,2723,1325,18712
Jun-12,Accessories & Equipment ,9368,5264,2004,1357,17993
Jul-12,Accessories & Equipment ,8374,5437,2743,1388,17942
Aug-12,Accessories & Equipment ,8814,5880,2472,1289,18455
Sep-12,Accessories & Equipment ,7480,4869,2644,1484,16477
Oct-12,Accessories & Equipment ,9066,5639,2740,1267,18712
Nov-12,Accessories & Equipment ,7121,5319,2854,1318,16612
Dec-12,Accessories & Equipment ,7741,5788,2743,1387,17659
Jan-13,Accessories & Equipment ,8314,5653,2634,1310,17911
Feb-13,Accessories & Equipment ,7066,5712,2310,1404,16492
Mar-13,Accessories & Equipment ,7720,5419,2966,1498,17603
Apr-13,Accessories & Equipment ,6378,5038,2435,1378,15229
May-13,Accessories & Equipment ,8092,5522,2294,1431,17339
Jun-13,Accessories & Equipment ,8154,5251,2518,1312,17235
Jul-13,Accessories & Equipment ,5729,5383,2761,1341,15214
Aug-13,Accessories & Equipment ,8385,4570,2244,1367,16566
Sep-13,Accessories & Equipment ,6022,5768,2634,1407,15831
Oct-13,Accessories & Equipment ,7862,5111,2761,1297,17031
Nov-13,Accessories & Equipment ,8441,5004,2161,1302,16908
Dec-13,Accessories & Equipment ,6492,4923,2457,1498,15370
Jan-14,Accessories & Equipment ,6847,5932,2574,1377,16730
Feb-14,Accessories & Equipment ,7001,5180,2159,1278,15618
Mar-14,Accessories & Equipment ,6155,5289,2433,1322,15199
Apr-14,Accessories & Equipment ,7497,5736,2442,1430,17105
May-14,Accessories & Equipment ,5585,4859,2858,1305,14607
Jun-14,Accessories & Equipment ,6775,5347,2033,1436,15591
Jul-14,Accessories & Equipment ,7228,4762,2572,1447,16009
Aug-14,Accessories & Equipment ,7603,5508,2973,1471,17555
Sep-14,Accessories & Equipment ,8700,4836,2779,1353,17668
Oct-14,Accessories & Equipment ,6921,5257,2312,1338,15828
Nov-14,Accessories & Equipment ,6008,4723,2800,1319,14850
Dec-14,Accessories & Equipment ,6149,5198,2974,1273,15594
Jan-15,Accessories & Equipment ,7712,4682,2939,1371,16704
Feb-15,Accessories & Equipment ,9028,5339,2759,1422,18548
Mar-15,Accessories & Equipment ,7162,5374,2944,1333,16813
Apr-15,Accessories & Equipment ,7253,5181,2014,1467,15915
May-15,Accessories & Equipment ,6355,4695,2927,1302,15279
Jun-15,Accessories & Equipment ,6045,5914,2956,1434,16349
Jul-15,Accessories & Equipment ,8962,4769,2461,1480,17672
Aug-15,Accessories & Equipment ,6462,5603,2440,1311,15816
Sep-15,Accessories & Equipment ,7866,5808,2553,1408,17635
Oct-15,Accessories & Equipment ,7776,4950,2175,1293,16194
Nov-15,Accessories & Equipment ,8392,5282,2036,1398,17108
Dec-15,Accessories & Equipment ,5989,5667,2313,1416,15385
Jan-16,Accessories & Equipment ,7253,5843,2611,1463,17170
Feb-16,Accessories & Equipment ,8025,5738,2038,1342,17143
Mar-16,Accessories & Equipment ,6818,4563,2985,1259,15625
Apr-16,Accessories & Equipment ,7538,4597,2525,1323,15983
May-16,Accessories & Equipment ,6450,5781,2306,1444,15981
Jun-16,Accessories & Equipment ,6139,5558,2113,1370,15180
Jul-16,Accessories & Equipment ,6602,5047,2278,1421,15348
Aug-16,Accessories & Equipment ,7527,4629,2348,1262,15766
Sep-16,Accessories & Equipment ,6194,4679,2209,1334,14416
Oct-16,Accessories & Equipment ,6938,5636,2628,1339,16541
Nov-16,Accessories & Equipment ,7613,5756,2083,1430,16882
Dec-16,Accessories & Equipment ,8262,4607,2642,1310,16821
Jan-17,Accessories & Equipment ,5625,5818,2200,1457,15100
Feb-17,Accessories & Equipment ,5570,5700,2492,1478,15240
Mar-17,Accessories & Equipment ,7995,5342,2540,1394,17271
Apr-17,Accessories & Equipment ,9261,4890,2861,1283,18295
May-17,Accessories & Equipment ,6524,4807,2286,1307,14924
Jun-17,Accessories & Equipment ,6250,5023,2236,1317,14826
Jul-17,Accessories & Equipment ,8456,5475,2340,1308,17579
Aug-17,Accessories & Equipment ,5896,4713,2935,1330,14874
Sep-17,Accessories & Equipment ,7601,4952,2483,1381,16417
Oct-17,Accessories & Equipment ,9472,5581,2417,1254,18724
Nov-17,Accessories & Equipment ,6202,5273,2639,1287,15401
Dec-17,Accessories & Equipment ,9232,5506,2749,1387,18874
Jan-18,Accessories & Equipment ,6932,5545,2058,1447,15982
Feb-18,Accessories & Equipment ,8950,5305,2218,1394,17867
Mar-18,Accessories & Equipment ,7362,5456,2458,1391,16667
Apr-18,Accessories & Equipment ,6217,5028,2278,1455,14978
May-18,Accessories & Equipment ,6076,5398,2078,1335,14887
Jun-18,Accessories & Equipment ,7627,4659,2899,1498,16683
Jul-18,Accessories & Equipment ,8388,5775,2939,1339,18441
Aug-18,Accessories & Equipment ,6923,5850,2585,1474,16832
Sep-18,Accessories & Equipment ,8651,4911,2029,1335,16926
Oct-18,Accessories & Equipment ,8532,5715,2039,1403,17689
Nov-18,Accessories & Equipment ,7604,5275,2860,1369,17108
Dec-18,Accessories & Equipment ,5626,4787,2129,1340,13882
Jan-19,Accessories & Equipment ,9183,5276,2129,1325,17913
Feb-19,Accessories & Equipment ,8167,5592,2695,1360,17814
Mar-19,Accessories & Equipment ,9087,5250,2608,1300,18245
Apr-19,Accessories & Equipment ,7476,5714,2612,1303,17105
May-19,Accessories & Equipment ,7932,5779,2628,1441,17780
Jun-19,Accessories & Equipment ,6165,5468,2213,1454,15300
Jul-19,Accessories & Equipment ,7996,5246,2977,1269,17488
Aug-19,Accessories & Equipment ,6873,5679,2209,1300,16061
Sep-19,Accessories & Equipment ,6195,5740,2695,1329,15959
Oct-19,Accessories & Equipment ,6198,5868,2022,1297,15385
Nov-19,Accessories & Equipment ,6997,4726,2201,1491,15415
Dec-19,Accessories & Equipment ,7604,4506,2726,1362,16198
Jan-20,Accessories & Equipment ,7077,5184,2566,1471,16298
Feb-20,Accessories & Equipment ,8537,5626,2721,1361,18245
Mar-20,Accessories & Equipment ,8537,5904,2331,1402,18174
Apr-20,Accessories & Equipment ,7626,5368,2875,1372,17241
May-20,Accessories & Equipment ,6593,5884,2910,1286,16673
Jun-20,Accessories & Equipment ,6292,4686,2302,1288,14568
